OBJECTID,AADT,AADT_YEAR,CARTO_CLASS,FLOW_DIRECTION,FROM_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,FROM_STREET,LANES,OWNERSHIP,REGIONAL_ROAD,ROADSEGMENTID,SOURCE,SOURCE_DATE,SPEED_LIMIT,STREET,SUBCATEGORY,TO_LEFT_ADDRESS,TO_RIGHT_ADDRESS,TO_STREET,TRUCK_ACCESS,SPEED_85TH_KM,MEAN_SPEED_KM,DBT,PERCENT_BIKES,Shape__Length
52802,15589,2015,Arterial,TwoWay,324,,NORTH HILL PL,4,REG,REGIONAL RD 53,23084,REG PLAN 1664,5/30/2003 12:00:00 AM,50,FAIRWAY RD N,MAJOR,324,,OLD CHICOPEE TRAIL,NO ACCESS,,,,,172.278291595065
52803,2889,1997,Collector,TwoWay,80,87,CARLYLE DR,2,KIT,,22762,,,40,BLACK WALNUT DR,MINOR,80,109,BIEHN DR,NO ACCESS,,,,,153.001413723166
52804,1653,2021,Collector,TwoWay,15,,PIONEER DR,2,KIT,,22729,,,30,BECHTEL DR,MINOR,15,,DOON VILLAGE RD,NO ACCESS,,,,,319.676530564782
52805,450,2003,Local Street,TwoWay,77,,WHIPPLETREE PL,2,KIT,,21528,,,40,ANVIL ST,LOCAL,109,,FARMINGTON PL,NO ACCESS,,,,,102.230218673608
52806,2500,2003,Local Street,TwoWay,21,22,HALLS LANE E,2,KIT,,6616,REG PLAN 367,4/22/2003 12:00:00 AM,40,EBY ST S,LOCAL,25,22,CHARLES ST E,NO ACCESS,,,,,34.4172917344677
52807,416,2021,Local Street,TwoWay,9,14,EBY ST N,2,KIT,,6617,REG PLAN 364,4/22/2003 12:00:00 AM,40,EBY ST S,LOCAL,17,18,HALLS LANE E,NO ACCESS,,,,,65.8781974555466
52808,750,2004,Local Street,TwoWay,11,10,COLTON CIR,2,KIT,,600059,58M-331,10/7/2004 12:00:00 AM,40,PEBBLECREEK DR,LOCAL,35,50,COUNTRY CLAIR ST,NO ACCESS,,,,,147.193489230949
52809,500,2004,Local Street,TwoWay,,2,PEBBLECREEK DR,2,KIT,,600298,58M-331,10/7/2004 12:00:00 AM,40,COLTON CIR,LOCAL,,344,COLTON CIR,NO ACCESS,,,,,87.5441632680516
52810,500,2004,Local Street,TwoWay,27,22,COLTON CIR,2,KIT,,600299,58M-331,10/7/2004 12:00:00 AM,40,COLTON CIR,LOCAL,345,74,AMELIA ST,NO ACCESS,,,,,169.607253508149
52811,902,2023,Local Street,TwoWay,146,127,SIEBERT AVE,2,KIT,,22973,REG PLAN 812,8/13/2002 12:00:00 AM,40,CLARK AVE,LOCAL,236,243,SIEBERT AVE,NO ACCESS,43.2,35.78,14,0.0152,408.046692595579
52812,2551,2022,Collector,TwoWay,255,256,CARLIN AVE,2,KIT,,13325,REG PLAN 923,4/22/2003 12:00:00 AM,40,DIXON ST,MINOR,321,306,CARWOOD AVE,NO ACCESS,45.8,39.98,13,0.005,288.6906715372
52813,2441,2012,Local Street,TwoWay,,,VANIER DR,2,KIT,,10100,REG PLAN 1206,8/13/2002 12:00:00 AM,40,SHELLEY DR,LOCAL,,,HILLMOUNT ST,NO ACCESS,,,,,57.9422360986724
52814,298,2023,Local Street,TwoWay,31,10,VANIER DR,2,KIT,,10087,,,30,BONIFACE AVE,LOCAL,71,86,MASSEY AVE,NO ACCESS,43.8,32.11,9,0.0287,283.270446128699
52815,1333,2003,Local Street,TwoWay,104,97,BROADMOOR AVE,2,KIT,,10101,REG PLAN 812,8/13/2002 12:00:00 AM,40,CLARK AVE,LOCAL,110,121,SIEBERT AVE,NO ACCESS,,,,,102.61641506154
52817,300,2003,Local Street,TwoWay,73,64,DINISON PL,2,KIT,,9510,REG PLAN 1466,8/13/2002 12:00:00 AM,40,DINISON CRES,LOCAL,235,216,ALBION ST,NO ACCESS,,,,,506.216285770654
52818,2000,2003,Local Street,TwoWay,15,20,OTTAWA ST S,2,KIT,,11524,REG PLAN 384,4/22/2003 12:00:00 AM,40,HOFFMAN ST,LOCAL,15,24,DONLEY ST,NO ACCESS,,,,,106.915381297041
52819,1200,2003,Local Street,TwoWay,221,226,ELKINGTON DR,2,KIT,,9920,REG PLAN 937,4/22/2003 12:00:00 AM,40,ROSEMOUNT DR,LOCAL,253,300,BURLINGTON DR,NO ACCESS,,,,,236.4612552406
52820,5000,2017,Roundabout,FromTo,,,WOODBINE AVE,1,KIT,,103486,,,60,HURON RD,MAJOR,,,HURON RD,24HR,,,,,31.2087648117364
52821,5500,,Roundabout,FromTo,,,HURON RD,1,KIT,,103487,,,60,HURON RD,MAJOR,,,BECKVIEW DR,24HR,,,,,39.1509955202633
52822,5911,2013,Roundabout,FromTo,,,HURON RD,1,KIT,,103489,,,60,HURON RD,MAJOR,,,WOODBINE AVE,24HR,,,,,36.2266497979033
52823,450,2003,Local Street,TwoWay,163,160,END,2,KIT,,540407,REG PLAN 58M-182,2/10/2003 12:00:00 AM,40,REDTAIL ST,LOCAL,167,168,HAWKSWOOD DR,NO ACCESS,,,,,83.018481940124
52824,15000,2003,Arterial,TwoWay,278,257,SIMEON ST,4,REG,REGIONAL RD  8,10165,REG PLAN 339,4/22/2003 12:00:00 AM,50,WEBER ST E,MAJOR,296,291,SIMEON ST,7-7 MON-FRI,,,,,173.228356304379
52827,20,2009,Local Street,TwoWay,,,OTTAWA ST S,2,KIT,,9424,58M-224,4/22/2003 12:00:00 AM,40,WILSONS RD,LANE,,,MAHOGANY ST,NO ACCESS,,,,,60.8961018279187
52828,16947,2015,Arterial,TwoWay,,,EAST AVE,5,REG,REGIONAL RD  8,10189,REG PLAN 51,4/22/2003 12:00:00 AM,50,WEBER ST E,MAJOR,,,EAST AVE,7-7 MON-FRI,,,,,32.6100777595395
52829,17279,2015,Arterial,TwoWay,724,721,JACKSON AVE,4,REG,REGIONAL RD  8,10015,REG PLAN 657,4/22/2003 12:00:00 AM,50,WEBER ST E,MAJOR,760,825,MONTGOMERY RD,7-7 MON-FRI,,,,,431.493839536387
52830,450,2003,Local Street,TwoWay,81,82,ELIZABETH ST,2,KIT,,10379,REG PLAN 660,9/9/2003 12:00:00 AM,40,OXFORD ST,LOCAL,157,156,UNION ST,NO ACCESS,,,,,309.588598373516
52831,200,2003,Local Street,TwoWay,61,48,HELEN AVE,2,KIT,,15979,REG PLAN 689,4/22/2003 12:00:00 AM,40,LIMERICK DR,LOCAL,137,134,GREENSVIEW DR,NO ACCESS,,,,,345.957154942683
52834,1271,2023,Collector,TwoWay,1117,1118,COUNTRYSTONE PL,2,KIT,,20432,OTHER,12/18/2003 12:00:00 AM,40,COUNTRYSTONE DR,MINOR,1161,1180,RESURRECTION DR,NO ACCESS,42.4,35.91,3,0.002,157.784996615712
52835,600,2003,Local Street,TwoWay,123,138,TUDOR ST,2,KIT,,600164,58M-346,3/24/2005 12:00:00 AM,40,NEWCASTLE DR,LOCAL,161,166,ROCKCLIFFE DR,NO ACCESS,,,,,172.2341979105
52836,550,2006,Local Street,TwoWay,221,228,RIVER VALLEY DR,2,KIT,,601455,30T-04201 STREET NAME FROM BARB F AND ADDRESSING,2/13/2004 12:00:00 AM,40,RIVER BIRCH ST,LOCAL,249,244,RIVER BIRCH CRT,NO ACCESS,,,,,210.290680166039
52837,873,2021,Local Street,TwoWay,10,9,CLARK AVE,2,KIT,,22974,REG PLAN 812,8/13/2002 12:00:00 AM,40,SIEBERT AVE,LOCAL,36,35,HARBER AVE,NO ACCESS,,,,,138.84214106656
52838,150,2003,Local Street,TwoWay,2,5,ROYAL ORCHARD DR,2,KIT,,20852,REG PLAN 1475,4/22/2003 12:00:00 AM,40,ROYAL ORCHARD PL,LOCAL,90,111,CUL DE SAC,NO ACCESS,,,,,283.744881321203
52839,255,2003,Local Street,TwoWay,57,2,FENWICK CRT,2,KIT,,20635,REG PLAN 1671,4/22/2003 12:00:00 AM,40,LYNNHAVEN CRT,LOCAL,97,90,CUL DE SAC,NO ACCESS,,,,,156.007445270426
52840,100,2003,Local Street,TwoWay,1,6,WINDING WAY,2,KIT,,5413,REG PLAN 1391,4/22/2003 12:00:00 AM,40,GREENBOUGH CRT,LOCAL,35,32,CUL DE SAC,NO ACCESS,,,,,136.301642978769
52841,7000,2003,Collector,TwoWay,694,687,SHELDON AVE S,4,KIT,,11699,,,40,CHARLES ST E,MINOR,710,705,PRESTON ST,24HR,,,,,90.867814029298
52842,9320,2003,Collector,TwoWay,,,OTTAWA ST S,3,KIT,,10842,,,40,ALPINE RD,MINOR,,,FLINT DR,NO ACCESS,,,,,179.804306403094
52843,1128,2018,Local Street,TwoWay,41,60,BLACKHORNE CRES,2,KIT,,9270,,,40,BLACKHORNE DR,LOCAL,113,106,BLACKHORNE CRES,NO ACCESS,,,,,215.180296859395
52844,400,2003,Local Street,TwoWay,15,6,GREEN VALLEY DR,2,KIT,,22041,,,40,ARROWHEAD CRES,LOCAL,67,74,ARROWHEAD PL,NO ACCESS,,,,,217.74061418782
52847,263,2003,Local Street,TwoWay,2844,,KINZIE AVE,2,KIT,,540374,REG PLAN  687,4/22/2003 12:00:00 AM,40,KING ST E,LOCAL,2848,,END,NO ACCESS,,,,,142.186754403357
52848,420,2003,Local Street,TwoWay,28,11,LANCASTER ST E,2,KIT,,11132,REG PLAN 44,4/22/2003 12:00:00 AM,40,MANSION ST,LOCAL,56,53,ELLEN ST E,NO ACCESS,,,,,225.612432292246
52849,9984,2015,Arterial,TwoWay,4,,CHARLES ST W,3,REG,REGIONAL RD 64,6813,GIS,5/6/2009 12:00:00 AM,50,CHARLES ST E,MAJOR,4,,BENTON ST,24HR,,,,,146.902657271096
52850,260,2019,Local Street,TwoWay,47,48,ROSSFORD CRES,2,KIT,,8673,REG PLAN 1257,4/22/2003 12:00:00 AM,40,MARKWOOD DR,LOCAL,161,158,HAZELGLEN DR,NO ACCESS,,,,,505.553822713948
52852,1159,2021,Local Street,TwoWay,15,18,GLASGOW ST,2,KIT,,1284,"UPDATED TO CLAREMONT AVE FROM CLAREMONT BLVD AS PER DISCUSSION WITH D. ADAMS AND B. FAIRBAIRN (MAR 3, '05)",3/4/2005 12:00:00 AM,40,ABERDEEN RD,LOCAL,47,42,CLAREMONT AVE,NO ACCESS,,,,,167.799437439179
52853,1591,2013,Local Street,TwoWay,226,,SANDRA AVE,2,KIT,,1705,REG PLAN 739,4/22/2003 12:00:00 AM,40,PATRICIA AVE,LOCAL,240,,JACK AVE,NO ACCESS,,,,,93.0449935891761
52854,3900,2009,Collector,TwoWay,11,28,HIGHLAND RD W,2,KIT,,1702,REG PLAN 295,4/22/2003 12:00:00 AM,40,WEST AVE,MINOR,11,34,BROCK ST,NO ACCESS,,,,,81.4655704286618
52855,2000,1997,Ramp,FromTo,,,COURTLAND AVE E,1,MTO,,11448,MCP 791,4/22/2003 12:00:00 AM,50,C_PKY STR ONRAMP,HIGHWAY,,,CONESTOGA PKY(HWY 7/8) STRA BND HWY,24HR,,,,,76.0625104437227
52856,1000,1989,Ramp,FromTo,,,HOMER WATSON BLVD,1,MTO,,11631,58R-2671,4/22/2003 12:00:00 AM,50,C_PKY STR ONRAMP,HIGHWAY,,,CONESTOGA PKY(HWY 7/8) STRA BND HWY,7-7 MON-SUN,,,,,426.602856736417
52857,8000,1997,Ramp,FromTo,,,WELLINGTON ST N,1,MTO,,10398,MTO,9/18/2017 12:00:00 AM,50,C_PKY WAT ONRAMP,HIGHWAY,,,CONESTOGA PKY(HWY 85) WAT BND HWY,24HR,,,,,270.483237967251
52858,6798,2015,Arterial,TwoWay,,628,ROBERT FERRIE DR,2,REG,REGIONAL RD 12,102911,PLAN 675,2/9/2004 12:00:00 AM,80,NEW DUNDEE RD,MAJOR,,628,REICHERT DR,24HR,,,,,153.010908172492
52859,1124,2023,Local Street,TwoWay,34,35,SILVERSPRING CRES,2,KIT,,20908,REG PLAN 1182,4/22/2003 12:00:00 AM,40,WARREN RD,LOCAL,44,35,BUTTONWOOD DR,NO ACCESS,45.1,37.67,17,0.0147,79.1864982279998
52860,340,2021,Local Street,TwoWay,5,6,WARREN RD,2,KIT,,6214,,,40,BUTTONWOOD DR,LOCAL,75,76,FOREST HILL DR,NO ACCESS,,,,,349.632801594785
52861,400,2003,Local Street,TwoWay,,64,PRUETER AVE,2,KIT,,10427,,,40,BOEHMER ST,LOCAL,,74,ELIZABETH ST,NO ACCESS,,,,,61.4986702729041
52862,500,2005,Local Street,TwoWay,217,218,GRASSWOOD ST,2,KIT,,601188,30T-00204,7/23/2004 12:00:00 AM,40,WATERBEND CRES,LOCAL,301,298,GRASSWOOD ST,NO ACCESS,,,,,302.590277418513
52864,750,2005,Local Street,TwoWay,,,BRIDGEMILL CRT,2,KIT,,600069,30T-97012-MOD-MAR-5-2004,3/5/2004 12:00:00 AM,40,BRIDGEMILL CRES,LOCAL,,,ZELLER DR,NO ACCESS,,,,,362.930861806819
52865,340,2003,Local Street,TwoWay,132,135,KRUG ST,2,KIT,,11254,REG PLAN 697,4/22/2003 12:00:00 AM,40,MERNER AVE,LOCAL,146,147,GLENDALE RD,NO ACCESS,,,,,111.725960400573
52866,172,2023,Local Street,TwoWay,9,10,MILL ST,2,KIT,,11331,REG PLAN 434,4/22/2003 12:00:00 AM,40,WOODLAND AVE,LOCAL,63,64,RUSSEL ST,NO ACCESS,40.5,32,9,0.0507,211.01350640883
